model,seed,outer_fold,train_fraction,n_train,train_macro_f1,test_macro_f1,fit_predict_seconds
TabPFN,2027,5,0.4,1280,0.9960935115668681,0.9849996249906248,3.6561741828918457
TabPFN,2027,5,0.6,1920,0.996354067764425,0.9837498984368652,4.054196119308472
TabPFN,2027,5,0.8,2560,0.9921870231337362,0.9874987498749874,4.596264362335205
TabPFN,2027,5,1.0,3200,0.9915619429563904,0.9874987498749874,5.340034484863281
TabPFN,2028,1,0.2,640,0.9937497558498378,0.9862492265189917,3.1872541904449463
TabPFN,2028,1,0.4,1280,0.9921868132941372,0.9837474605407095,3.719200611114502
TabPFN,2028,1,0.6,1920,0.9937495659420793,0.9849966242404542,4.070814609527588
TabPFN,2028,1,0.8,2560,0.9910149614320881,0.9874949979991997,4.585636854171753
TabPFN,2028,1,1.0,3200,0.9906240624062406,0.9874949979991997,5.383053302764893
TabPFN,2028,2,0.2,640,0.990625,0.9862492265189917,3.2091147899627686
TabPFN,2028,2,0.4,1280,0.9906241759529646,0.9874996874921873,3.689668655395508
TabPFN,2028,2,0.6,1920,0.9911450550666888,0.9874996874921873,4.112128257751465
TabPFN,2028,2,0.8,2560,0.9886703191051017,0.9899997499937498,4.652325391769409
TabPFN,2028,2,1.0,3200,0.9903116484847301,0.9887499296870605,5.38347053527832
TabPFN,2028,3,0.2,640,0.996875,0.9812498828117675,3.174522638320923
TabPFN,2028,3,0.4,1280,0.9953123168873784,0.9874996874921873,3.6624410152435303
TabPFN,2028,3,0.6,1920,0.9947915762426431,0.9874996874921873,4.173153400421143
TabPFN,2028,3,0.8,2560,0.9917962691336457,0.9874987498749874,4.5909295082092285
TabPFN,2028,3,1.0,3200,0.9915619429563904,0.9874996874921873,5.324780464172363
TabPFN,2028,4,0.2,640,0.9937497558498378,0.9824960616138632,3.2484281063079834
TabPFN,2028,4,0.4,1280,0.9937497558498378,0.9862457877725053,3.7035303115844727
TabPFN,2028,4,0.6,1920,0.9911453625464027,0.9862457877725053,4.041917085647583
TabPFN,2028,4,0.8,2560,0.989452346028973,0.9887465536320498,4.590499401092529
TabPFN,2028,4,1.0,3200,0.9896868191689216,0.9887443018027877,5.325920820236206
TabPFN,2028,5,0.2,640,0.9921868132941372,0.9774670165326589,3.1748268604278564
TabPFN,2028,5,0.4,1280,0.9937494506353097,0.9774977497749775,3.6345911026000977
TabPFN,2028,5,0.6,1920,0.9921868132941372,0.9799979997999799,4.03199028968811
TabPFN,2028,5,0.8,2560,0.990623145690432,0.9824995624890622,4.582991361618042
TabPFN,2028,5,1.0,3200,0.9909364768132027,0.9799994999874997,5.317730903625488
