feature_set,model,seed,outer_fold,best_score_inner,best_params
REDUCED_7,CatBoost,2026,4,0.969359378864412,"{""depth"": 6, ""iterations"": 300, ""learning_rate"": 0.03}"
REDUCED_7,CatBoost,2026,5,0.972496983346586,"{""depth"": 6, ""iterations"": 600, ""learning_rate"": 0.03}"
REDUCED_7,CatBoost,2027,1,0.9709195209594282,"{""depth"": 4, ""iterations"": 600, ""learning_rate"": 0.03}"
REDUCED_7,CatBoost,2027,2,0.9746739296552486,"{""depth"": 4, ""iterations"": 600, ""learning_rate"": 0.1}"
REDUCED_7,CatBoost,2027,3,0.9699839483586212,"{""depth"": 4, ""iterations"": 600, ""learning_rate"": 0.03}"
REDUCED_7,CatBoost,2027,4,0.970612692291081,"{""depth"": 4, ""iterations"": 600, ""learning_rate"": 0.1}"
REDUCED_7,CatBoost,2027,5,0.9746769760893907,"{""depth"": 4, ""iterations"": 600, ""learning_rate"": 0.1}"
REDUCED_7,CatBoost,2028,1,0.9721761372493546,"{""depth"": 4, ""iterations"": 300, ""learning_rate"": 0.1}"
REDUCED_7,CatBoost,2028,2,0.96811752483064,"{""depth"": 4, ""iterations"": 600, ""learning_rate"": 0.1}"
REDUCED_7,CatBoost,2028,3,0.9734186939390308,"{""depth"": 6, ""iterations"": 600, ""learning_rate"": 0.1}"
REDUCED_7,CatBoost,2028,4,0.9715512726053084,"{""depth"": 4, ""iterations"": 300, ""learning_rate"": 0.1}"
REDUCED_7,CatBoost,2028,5,0.973432604192946,"{""depth"": 4, ""iterations"": 600, ""learning_rate"": 0.1}"
REDUCED_7,KNN,2026,1,0.9548740007312252,"{""clf__n_neighbors"": 3, ""clf__p"": 2, ""clf__weights"": ""uniform""}"
REDUCED_7,KNN,2026,2,0.9511644702433336,"{""clf__n_neighbors"": 3, ""clf__p"": 2, ""clf__weights"": ""distance""}"
REDUCED_7,KNN,2026,3,0.94481328723408,"{""clf__n_neighbors"": 5, ""clf__p"": 2, ""clf__weights"": ""distance""}"
REDUCED_7,KNN,2026,4,0.9502324861125548,"{""clf__n_neighbors"": 3, ""clf__p"": 2, ""clf__weights"": ""distance""}"
REDUCED_7,KNN,2026,5,0.9530151395447224,"{""clf__n_neighbors"": 3, ""clf__p"": 2, ""clf__weights"": ""distance""}"
REDUCED_7,KNN,2027,1,0.9529913082345703,"{""clf__n_neighbors"": 5, ""clf__p"": 2, ""clf__weights"": ""distance""}"
REDUCED_7,KNN,2027,2,0.951410921510747,"{""clf__n_neighbors"": 3, ""clf__p"": 2, ""clf__weights"": ""distance""}"
REDUCED_7,KNN,2027,3,0.9470669586555152,"{""clf__n_neighbors"": 3, ""clf__p"": 2, ""clf__weights"": ""distance""}"
REDUCED_7,KNN,2027,4,0.9523510358624528,"{""clf__n_neighbors"": 5, ""clf__p"": 2, ""clf__weights"": ""distance""}"
REDUCED_7,KNN,2027,5,0.9495437937503196,"{""clf__n_neighbors"": 3, ""clf__p"": 2, ""clf__weights"": ""distance""}"
REDUCED_7,KNN,2028,1,0.9511193787641172,"{""clf__n_neighbors"": 3, ""clf__p"": 2, ""clf__weights"": ""distance""}"
REDUCED_7,KNN,2028,2,0.948635716007384,"{""clf__n_neighbors"": 3, ""clf__p"": 2, ""clf__weights"": ""uniform""}"
REDUCED_7,KNN,2028,3,0.952356874385779,"{""clf__n_neighbors"": 3, ""clf__p"": 2, ""clf__weights"": ""uniform""}"
REDUCED_7,KNN,2028,4,0.9501452837883309,"{""clf__n_neighbors"": 11, ""clf__p"": 1, ""clf__weights"": ""distance""}"
REDUCED_7,KNN,2028,5,0.9489816246682108,"{""clf__n_neighbors"": 3, ""clf__p"": 1, ""clf__weights"": ""uniform""}"
REDUCED_7,LDA_SVM,2026,1,0.9802966325743224,"{""clf__C"": 10, ""clf__gamma"": 0.1, ""dr__n_components"": 3}"
REDUCED_7,LDA_SVM,2026,2,0.9806147048921344,"{""clf__C"": 100, ""clf__gamma"": 0.1, ""dr__n_components"": 3}"
REDUCED_7,LDA_SVM,2026,3,0.978108744650635,"{""clf__C"": 10, ""clf__gamma"": 0.1, ""dr__n_components"": 3}"
REDUCED_7,LDA_SVM,2026,4,0.9799930200613524,"{""clf__C"": 100, ""clf__gamma"": 0.1, ""dr__n_components"": 3}"
REDUCED_7,LDA_SVM,2026,5,0.982805924502497,"{""clf__C"": 100, ""clf__gamma"": 0.1, ""dr__n_components"": 3}"
REDUCED_7,LDA_SVM,2027,1,0.9806064633573602,"{""clf__C"": 10, ""clf__gamma"": 0.1, ""dr__n_components"": 3}"
REDUCED_7,LDA_SVM,2027,2,0.980614135768566,"{""clf__C"": 100, ""clf__gamma"": 0.1, ""dr__n_components"": 3}"
REDUCED_7,LDA_SVM,2027,3,0.979050608512965,"{""clf__C"": 100, ""clf__gamma"": 0.1, ""dr__n_components"": 3}"
REDUCED_7,LDA_SVM,2027,4,0.9809293883252058,"{""clf__C"": 100, ""clf__gamma"": 0.1, ""dr__n_components"": 3}"
REDUCED_7,LDA_SVM,2027,5,0.9790595679850924,"{""clf__C"": 1, ""clf__gamma"": 0.1, ""dr__n_components"": 3}"
REDUCED_7,LDA_SVM,2028,1,0.9821774969271068,"{""clf__C"": 100, ""clf__gamma"": 0.1, ""dr__n_components"": 3}"
REDUCED_7,LDA_SVM,2028,2,0.9777986332807246,"{""clf__C"": 100, ""clf__gamma"": 0.1, ""dr__n_components"": 3}"
REDUCED_7,LDA_SVM,2028,3,0.9815512826639656,"{""clf__C"": 100, ""clf__gamma"": 0.1, ""dr__n_components"": 3}"
REDUCED_7,LDA_SVM,2028,4,0.979054790478026,"{""clf__C"": 1, ""clf__gamma"": 0.1, ""dr__n_components"": 3}"
REDUCED_7,LDA_SVM,2028,5,0.9815534244388944,"{""clf__C"": 100, ""clf__gamma"": 0.1, ""dr__n_components"": 3}"
REDUCED_7,LDA_Shrinkage,2026,1,,{}
REDUCED_7,LDA_Shrinkage,2026,2,,{}
REDUCED_7,LDA_Shrinkage,2026,3,,{}
REDUCED_7,LDA_Shrinkage,2026,4,,{}
REDUCED_7,LDA_Shrinkage,2026,5,,{}
REDUCED_7,LDA_Shrinkage,2027,1,,{}
REDUCED_7,LDA_Shrinkage,2027,2,,{}
REDUCED_7,LDA_Shrinkage,2027,3,,{}
REDUCED_7,LDA_Shrinkage,2027,4,,{}
REDUCED_7,LDA_Shrinkage,2027,5,,{}
REDUCED_7,LDA_Shrinkage,2028,1,,{}
REDUCED_7,LDA_Shrinkage,2028,2,,{}
REDUCED_7,LDA_Shrinkage,2028,3,,{}
REDUCED_7,LDA_Shrinkage,2028,4,,{}
REDUCED_7,LDA_Shrinkage,2028,5,,{}
