feature_set,model,target_coverage,mean_actual_coverage,mean_rejection_rate,mean_confidence_threshold,mean_accuracy_accepted,sd_accuracy_accepted,mean_macro_f1_accepted,sd_macro_f1_accepted,rank_macro_f1,mean_macro_f1
FULL_11,TabNet,1.0,1.0,0.0,0.499202941046939,0.9706666666666667,0.003319764047840383,0.9706372449178313,0.003358945441969087,15,0.9706275633606632
FULL_11,TabNet,0.9,0.9,0.09999999999999998,0.9138003983109617,0.9926851851851852,0.001890794245987273,0.9918683551497395,0.0020680325721575627,15,0.9706275633606632
FULL_11,TabNet,0.8,0.8000000000000002,0.19999999999999996,0.9783660335946706,0.9970833333333333,0.001301041249666403,0.9960812360654963,0.0016154400842147076,15,0.9706275633606632
FULL_11,QDA,1.0,1.0,0.0,0.5026847977730474,0.9704166666666666,0.000520416499866527,0.9704357796826465,0.0005097177871450877,16,0.970431786710831
FULL_11,QDA,0.9,0.9,0.09999999999999998,0.8507918902865574,0.9908333333333333,0.0005555555555555314,0.990181945222588,0.0005367731777749282,16,0.970431786710831
FULL_11,QDA,0.8,0.8000000000000002,0.19999999999999996,0.9445222952719475,0.9952083333333333,0.0010974639325888522,0.9947646648365486,0.0011625556522499953,16,0.970431786710831
FULL_11,MLP,1.0,1.0,0.0,0.4281713373294848,0.9685833333333335,0.0015275252316518573,0.9685445259284323,0.0015368902029930557,17,0.9685293129556373
FULL_11,MLP,0.9,0.9,0.09999999999999998,0.9121194572031505,0.9928703703703704,0.0003207501495497781,0.9923156080909581,0.00031968725651874595,17,0.9685293129556373
FULL_11,MLP,0.8,0.8000000000000002,0.19999999999999996,0.9802431464861234,0.9978124999999999,0.0006249999999999867,0.9973564563492928,0.0007581962270278458,17,0.9685293129556373
FULL_11,PCA_MLP,1.0,1.0,0.0,0.39377460541833864,0.9674999999999999,0.00263391343821317,0.9674403968097631,0.002640248897643605,18,0.9674317064754054
FULL_11,PCA_MLP,0.9,0.9,0.09999999999999998,0.9053616542679839,0.9916666666666667,0.002204792759220496,0.9910786774885576,0.0023096742690579884,18,0.9674317064754054
FULL_11,PCA_MLP,0.8,0.8000000000000002,0.19999999999999996,0.97663636524763,0.9970833333333333,0.0010045469542700751,0.9965680564525944,0.0011490554328317238,18,0.9674317064754054
FULL_11,LDA_Shrinkage,1.0,1.0,0.0,0.503257626519643,0.9672499999999999,0.0002500000000000002,0.9671412577980883,0.0002504430778017534,19,0.9671285479912917
FULL_11,LDA_Shrinkage,0.9,0.9,0.09999999999999998,0.8944489093719262,0.991574074074074,0.00016037507477490508,0.9905638823658224,0.00016964736722198121,19,0.9671285479912917
FULL_11,LDA_Shrinkage,0.8,0.8000000000000002,0.19999999999999996,0.9739514571815597,0.9970833333333333,0.0001804219591218023,0.9962923228044532,0.00019717144974223697,19,0.9671285479912917
