f1_macro,accuracy,balanced_accuracy,precision_macro,recall_macro,mcc,kappa,log_loss,feature_set,model,seed,outer_fold
0.973674744800526,0.97375,0.97375,,,0.9653157903597608,0.965,0.0650835633894927,FULL_11,FTTransformer,2026,4
0.9712354379404572,0.97125,0.97125,,,0.9618289890056644,0.9616666666666668,0.0618985459106798,FULL_11,FTTransformer,2026,5
0.9737419584747828,0.97375,0.97375,,,0.9650985255036412,0.965,0.0620991112123375,FULL_11,FTTransformer,2027,1
0.970030066625096,0.97,0.97,,,0.9600140003062576,0.96,0.0618859007600625,FULL_11,FTTransformer,2027,2
0.9674537323258264,0.9675,0.9675,,,0.9566925774415188,0.9566666666666668,0.0843771633101804,FULL_11,FTTransformer,2027,3
0.9762498515615724,0.97625,0.97625,,,0.9683353507007488,0.9683333333333334,0.0655921075347461,FULL_11,FTTransformer,2027,4
0.9737130339539978,0.97375,0.97375,,,0.965452662052883,0.965,0.0671368788683831,FULL_11,FTTransformer,2027,5
0.9812358095809957,0.98125,0.98125,,,0.9752458742250985,0.975,0.0584976278136032,FULL_11,FTTransformer,2028,1
0.978778153907297,0.97875,0.97875,,,0.9718144746917828,0.9716666666666668,0.0628980124510355,FULL_11,FTTransformer,2028,2
0.979995498987272,0.98,0.98,,,0.97340634154686,0.9733333333333334,0.0636172467008122,FULL_11,FTTransformer,2028,3
0.97499437373409,0.975,0.975,,,0.9667391748239365,0.9666666666666668,0.0709761764357189,FULL_11,FTTransformer,2028,4
0.9635514491505928,0.96375,0.96375,,,0.951942373238046,0.9516666666666668,0.0907277037973617,FULL_11,FTTransformer,2028,5
0.9749759008276864,0.975,0.975,0.9751662746471824,0.975,0.9667391748239365,0.9666666666666668,0.1972844779927428,FULL_11,KNN,2026,1
0.9712354379404572,0.97125,0.97125,0.9716989403542172,0.97125,0.9618289890056644,0.9616666666666668,0.1967362198039908,FULL_11,KNN,2026,2
0.9774744386404552,0.9775,0.9775,0.9787071767941986,0.9775,0.9704266771942296,0.97,0.1521764166174801,FULL_11,KNN,2026,3
0.971109289563628,0.97125,0.97125,0.9721662954266496,0.97125,0.9620656057462784,0.9616666666666668,0.2877234856482408,FULL_11,KNN,2026,4
0.9673363819489508,0.9675,0.9675,0.968535012532135,0.9675,0.957121407361741,0.9566666666666668,0.1657803636499178,FULL_11,KNN,2026,5
0.9648457207690484,0.965,0.965,0.96694495558736,0.965,0.9540909438160736,0.9533333333333334,0.2376096580369397,FULL_11,KNN,2027,1
0.9661228602213664,0.96625,0.96625,0.9666078136635718,0.96625,0.9552049930678372,0.955,0.4941644339035702,FULL_11,KNN,2027,2
0.976212628286409,0.97625,0.97625,0.976301467774251,0.97625,0.9683757006970451,0.9683333333333334,0.1519311528818494,FULL_11,KNN,2027,3
0.9662583615901577,0.96625,0.96625,0.9671175199344212,0.96625,0.9552926031714448,0.955,0.2894967717897624,FULL_11,KNN,2027,4
0.96870228864485,0.96875,0.96875,0.968778843339862,0.96875,0.9583752631683322,0.9583333333333334,0.1974480094285548,FULL_11,KNN,2027,5
0.971311933094266,0.97125,0.97125,0.9715329456409244,0.97125,0.9617207649812548,0.9616666666666668,0.2776657765063076,FULL_11,KNN,2028,1
0.9774977497749776,0.9775,0.9775,0.977591036414566,0.9775,0.9700323349500898,0.97,0.2785515322555269,FULL_11,KNN,2028,2
