feature_set,model,seed,calibration,accuracy,macro_f1,nll,brier_multiclass,ece_toplabel_10bin,mce_toplabel_10bin
REDUCED_7,LDA_SVM,2028,temperature_crossfit,0.9805,0.9804896790402122,0.0639727650697483,0.03209429835291021,0.0043914222977189075,0.18407782818589213
REDUCED_7,LDA_Shrinkage,2026,temperature_crossfit,0.96875,0.9685798820025743,0.08504674926192898,0.04859246137827577,0.0057051294051330284,0.06633179423617908
REDUCED_7,LDA_Shrinkage,2027,temperature_crossfit,0.969,0.9688363384160965,0.08448168117098594,0.04829946237063573,0.006617745052830325,0.06570228968311653
REDUCED_7,LDA_Shrinkage,2028,temperature_crossfit,0.969,0.9688363384160965,0.08517305607972352,0.04845825721146511,0.00472642604800452,0.05079334818579018
REDUCED_7,LDA_XGBoost,2026,temperature_crossfit,0.979,0.9789839977964687,0.06706733577929137,0.03296553129677763,0.0037544273208206763,0.4999568888877845
REDUCED_7,LDA_XGBoost,2027,temperature_crossfit,0.9765,0.9765028647888688,0.06278157977956424,0.03391193811910436,0.0035250621271057624,0.499606726915931
REDUCED_7,LDA_XGBoost,2028,temperature_crossfit,0.981,0.981001560819005,0.06191782787308505,0.03163282664715442,0.0038061627761077233,0.12760760715568464
REDUCED_7,LogisticRegression,2026,temperature_crossfit,0.973,0.972985441248248,0.06982776938071501,0.040383223462390046,0.0034637970208648916,0.046567367608308485
REDUCED_7,LogisticRegression,2027,temperature_crossfit,0.973,0.972985441248248,0.06995316501913587,0.04059777211629013,0.003815019576403662,0.0626510401607282
REDUCED_7,LogisticRegression,2028,temperature_crossfit,0.973,0.9729833311673483,0.07052297499736249,0.04082672512298787,0.0030220494085309094,0.044800509495756646
REDUCED_7,MLP,2026,temperature_crossfit,0.9655,0.9654813170922139,0.08742949701516377,0.05139971937368904,0.003920855929063767,0.058665276390863275
REDUCED_7,MLP,2027,temperature_crossfit,0.96925,0.969239784106056,0.08094320174931943,0.047796442142457374,0.0027747791443954103,0.04555479856614453
REDUCED_7,MLP,2028,temperature_crossfit,0.965,0.9649446391395106,0.08821839238267025,0.051005746403305935,0.0033405377762640246,0.04621195488738061
REDUCED_7,QDA,2026,temperature_crossfit,0.9605,0.9604154296644928,0.10338761326681115,0.06043496469045604,0.005065260390544961,0.0800563688567989
REDUCED_7,QDA,2027,temperature_crossfit,0.96075,0.9606678318624361,0.10362842647237605,0.06075938533184729,0.007236365803379573,0.10226725747655474
REDUCED_7,QDA,2028,temperature_crossfit,0.96025,0.9601655517652017,0.10569843776662344,0.06095057139621675,0.0064249257927258534,0.09607271063791256
REDUCED_7,RandomForest,2026,temperature_crossfit,0.97175,0.971739253851277,0.0816024805418043,0.04324097503145252,0.003660255423321811,0.0375205736215789
REDUCED_7,RandomForest,2027,temperature_crossfit,0.97075,0.9707399857601264,0.07763531806472036,0.044374867673773674,0.0028226094526952834,0.05559701605174994
REDUCED_7,RandomForest,2028,temperature_crossfit,0.972,0.9719898883496942,0.0769170371731531,0.04302399982179857,0.004572400144298679,0.499999999999
REDUCED_7,SVM_RBF,2026,temperature_crossfit,0.97775,0.9777431838500541,0.06027246222763296,0.03429872906125423,0.0037539172292985357,0.13975610738721378
REDUCED_7,SVM_RBF,2027,temperature_crossfit,0.97625,0.9762456707734984,0.058901257798050895,0.03384059829960814,0.002743513533662322,0.12604496056560344
REDUCED_7,SVM_RBF,2028,temperature_crossfit,0.97675,0.9767361343276658,0.06063659351089388,0.03450734704830998,0.0033921771401184252,0.10344384393974082
REDUCED_7,TabPFN,2026,temperature_crossfit,0.985,0.9849981847803584,0.0367019683871078,0.02169668311048162,0.00205780303595372,0.07084301170755414
REDUCED_7,TabPFN,2027,temperature_crossfit,0.98575,0.9857481151882337,0.03747568563326746,0.02186581459285185,0.002892258596136742,0.09781345223536297
REDUCED_7,TabPFN,2028,temperature_crossfit,0.986,0.9859983057950013,0.0369740836493073,0.02144889538448018,0.002416072596064992,0.07026929636557389
REDUCED_7,XGBoost,2026,temperature_crossfit,0.97125,0.9712218001955926,0.08672551905562607,0.04445020669110664,0.002997375246611322,0.4996742577473881
REDUCED_7,XGBoost,2027,temperature_crossfit,0.97,0.9699751858415215,0.08477531881706386,0.04602240364256169,0.004280235208133382,0.038394016169725265
REDUCED_7,XGBoost,2028,temperature_crossfit,0.9705,0.9704819458332488,0.09208908488348247,0.04709878308142818,0.0028551826409426743,0.4997788713705127
