accuracy,macro_f1,nll,brier_multiclass,ece_toplabel_10bin,mce_toplabel_10bin,feature_set,model,seed,calibration
0.96925,0.969239784106056,0.08494688549382488,0.048657563287433724,0.01358368502869723,0.08256366561403194,REDUCED_7,MLP,2027,raw
0.965,0.9649446391395106,0.08876181063130598,0.05100390144603828,0.008856537116108664,0.05304224307275385,REDUCED_7,MLP,2028,raw
0.9605,0.9604154296644928,0.10291560351425548,0.06027112694275361,0.00498927348635472,0.06672884987903605,REDUCED_7,QDA,2026,raw
0.96075,0.9606678318624361,0.10352040579586952,0.06071613864298317,0.006928360616252086,0.09818113751774415,REDUCED_7,QDA,2027,raw
0.96025,0.9601655517652017,0.10492172169062575,0.060758889222725744,0.006177776578530414,0.08266011423329411,REDUCED_7,QDA,2028,raw
0.97175,0.971739253851277,0.08175989106654319,0.04327875567352773,0.005731880458749723,0.06460335925292027,REDUCED_7,RandomForest,2026,raw
0.97075,0.9707399857601264,0.07788310362554512,0.04444548422468061,0.005104199256892098,0.05137775546569001,REDUCED_7,RandomForest,2027,raw
0.972,0.9719898883496942,0.07719920799259432,0.043316051646886324,0.006336193725473596,0.499999999999,REDUCED_7,RandomForest,2028,raw
0.97775,0.9777431838500541,0.061431727673933324,0.03423776539724395,0.007396303761326323,0.10516858067025192,REDUCED_7,SVM_RBF,2026,raw
0.97625,0.9762456707734984,0.06031911940309467,0.03379645636982869,0.006157078857418936,0.12660915995991456,REDUCED_7,SVM_RBF,2027,raw
0.97675,0.9767361343276658,0.061620065735926856,0.0344337914512858,0.007437554126840112,0.5040548900917547,REDUCED_7,SVM_RBF,2028,raw
0.985,0.9849981847803584,0.03672165174784743,0.021623687773590847,0.0037545834867253845,0.12442456257622564,REDUCED_7,TabPFN,2026,raw
0.98575,0.9857481151882337,0.03722436938509509,0.021784031983399076,0.003037490388128644,0.10058351511071473,REDUCED_7,TabPFN,2027,raw
0.986,0.9859983057950013,0.03698021431894382,0.021412486275477705,0.002156094244707743,0.03238369489937587,REDUCED_7,TabPFN,2028,raw
0.97125,0.9712218001955926,0.08443049217175454,0.04416639217812997,0.002982353409406195,0.4999958239787102,REDUCED_7,XGBoost,2026,raw
0.97,0.9699751858415215,0.08387292753259905,0.04584786706065792,0.005077694880642252,0.04286529416518825,REDUCED_7,XGBoost,2027,raw
0.9705,0.9704819458332488,0.08863277108900601,0.046395846013906776,0.004177503982237481,0.03242115030429216,REDUCED_7,XGBoost,2028,raw
